,price
39751,1094
16104,6439
15491,6206
17349,6962
15603,6260
22531,10572
45278,1662
50468,2266
32532,798
29133,692
28136,664
5527,3852
31703,770
41194,1203
45588,1689
39231,1067
49732,2154
50271,2238
29556,705
18216,7392
43080,1378
42235,1291
49726,2152
32452,793
12047,596
30143,720
28696,679
14625,5902
8501,4422
3747,570
33671,836
39337,1072
6092,3975
36794,956
52118,2463
38989,1053
33023,814
17539,7056
49180,2074
52309,548
47247,1842
21944,10016
38853,1050
36145,928
33810,842
17214,6882
38843,1050
5616,3874
5724,575
1301,2954
5220,3782
23758,11815
5916,3936
36895,959
30221,723
29787,709
4436,3615
38820,1047
7728,580
6226,4004
21333,9476
12779,5330
12614,5291
23499,11508
14680,5923
48179,1944
8473,4416
17153,6848
41805,1250
28221,666
48953,2048
53274,2649
21468,9569
519,2824
40274,493
18270,7420
5894,3931
10526,4805
16464,6580
32323,789
12370,597
44486,1597
52065,2453
18988,7816
37988,1008
42365,1303
1404,560
4309,3593
11435,5005
31877,776
49760,2159
37848,1002
42344,1299
45737,1699
32824,805
46334,1758
22171,10214
23535,11540
719,2856
45501,1680
36055,924
18387,619
20227,8658
32746,803
46089,1739
8741,4463
44843,1625
5054,573
32997,812
744,557
8392,584
33759,840
10680,4842
41690,1240
5751,3895
46197,1749
9980,4704
34158,854
1141,2922
16690,421
41701,1241
44603,1607
51856,2425
24055,635
36733,954
40971,1180
47125,1828
39555,1080
15131,6084
5489,3841
49547,2129
51978,547
48674,2003
38745,1044
42585,1330
21437,9541
23720,633
44509,1600
9963,4701
4126,3541
21560,9660
22578,10628
39609,491
5245,3789
32475,795
15750,6300
46566,1783
39278,490
31945,776
33040,814
41070,1192
48682,2005
20341,8740
19311,8021
15975,6396
49918,2184
6767,4107
45254,1660
12441,5242
53580,2698
17566,7072
50815,2307
28058,660
12308,5220
35775,912
32106,782
20725,625
5710,575
22175,10215
11306,4981
15198,6105
18952,7792
42356,1301
50276,2239
21903,9972
17592,7081
13982,5694
17775,7160
17180,6860
46360,1760
18367,616
52807,2572
17455,7000
11431,5003
49862,2173
20094,8572
49158,2070
11051,596
12464,5249
13822,5632
33108,816
23023,630
22101,10129
52144,2469
40240,1124
21402,9516
41547,1235
35849,917
7195,4189
14320,5801
21295,9450
47525,1868
38665,1040
18888,7745
46506,1779
53197,2633
8178,4364
53057,2607
10201,4740
3933,3499
14137,5733
20881,9104
37772,999
14025,5702
12573,5280
36063,924
4687,3674
44422,1588
9323,4579
42077,1273
7533,4243
33126,816
14289,5784
7451,4233
17394,612
21629,9724
21598,9699
5861,3921
6366,576
46178,1746
15736,6295
49656,2141
33208,820
18896,7751
27927,658
44682,1610
48478,1979
32392,791
37274,483
49840,2169
52623,551
53333,2655
52317,550
37087,969
28556,675
47584,1876
23534,11540
20365,8759
37307,979
10062,591
53052,2607
15868,6347
22978,11028
3111,3323
32765,803
17860,7207
19256,7986
6856,4126
12386,598
16741,6666
36415,942
235,2788
46037,1728
33134,816
40643,1154
29071,687
29886,710
42715,1340
1710,561
42827,1355
41586,389
369,2808
21545,9645
12083,5160
11313,4985
4346,3601
12657,5300
53871,2744
1054,558
22218,10276
12249,5204
41270,502
4787,3696
49507,2120
30217,723
4984,3739
47080,1822
40595,497
14261,5775
29499,702
32662,802
49933,2185
46451,1774
20821,9050
17767,7154
43088,1381
6471,4054
37605,485
40567,1151
52780,2565
48835,2030
6860,4126
10783,4858
5580,3864
48471,1978
36301,936
51119,2339
37759,998
8176,4363
50836,2310
17580,7079
51195,2350
32925,810
12586,5283
11687,5063
29056,687
36260,936
14617,5899
7106,4168
5053,573
5148,3766
1151,2923
23780,11840
50432,2262
44192,1569
46307,526
15536,6224
9465,4601
50229,2232
7575,4254
51781,2413
43751,1438
50283,541
35271,895
1298,2954
12127,5169
22608,10662
23450,11437
9,338
42133,1279
46551,1781
32366,790
48712,2010
29257,698
10445,4788
13933,5669
10898,4884
40419,1134
35326,898
40950,1179
25699,644
17003,6788
45628,1693
17595,7084
20582,8891
37647,991
33732,839
4384,571
12191,5187
2106,3116
33083,814
9045,588
11191,4956
31632,450
41002,1183
44301,1578
49981,2189
16611,6638
20388,625
12490,5255
5901,3932
46660,1787
17553,7066
836,2867
23346,422
9956,4698
36120,928
32445,792
18858,7730
910,2878
46390,1764
6717,413
10651,4836
8466,4414
11957,5135
51718,2401
52683,2551
48411,1970
49381,2102
3118,3324
10581,4821
28279,363
36681,951
45512,1682
20405,8770
51479,2378
10292,4758
40994,1181
5597,3869
50407,2257
28567,675
12482,5253
11087,4927
47399,1848
27054,646
9546,4620
34927,373
43959,516
42929,1364
22729,10749
38981,1053
29862,710
39099,1061
47278,1845
16556,6614
22027,628
6921,4138
45196,1656
11515,5022
15517,6216
32684,802
47447,1857
29772,709
31241,757
2691,3246
9299,4572
19401,8062
22695,630
14529,5865
41449,1229
2334,3170
34592,469
16530,6606
42406,1309
17092,6814
44097,1555
3098,3321
39058,1058
34685,873
4330,3599
29816,709
44249,1574
23178,11189
47211,1838
15855,6342
30144,720
6213,4001
49859,2171
9361,589
42034,1268
50320,2240
41873,1257
50717,2293
27837,651
7656,4269
48656,537
28513,673
3887,3485
48759,2016
33979,847
53621,552
6776,4112
23216,11226
19237,7974
42487,1319
23454,11447
43747,1438
52730,2558
20229,8662
13358,419
51440,2375
20526,8852
9757,4661
39632,1084
45024,1637
48544,1988
41046,1188
20408,8770
42564,1327
7504,4241
44699,1613
41323,1214
13463,5528
33661,835
44426,1588
20818,9046
21143,9299
5502,3845
256,2790
5678,3885
27905,656
6114,3980
10269,4751
50771,2300
46682,1790
20385,625
50764,2300
38750,1044
49537,2125
28373,668
23008,11067
38291,487
17087,6814
41299,1211
15053,605
44750,1619
37741,997
33020,814
45917,1721
43924,514
33526,829
10956,4900
20886,9107
43840,1446
523,2825
10632,4830
2435,3183
9301,4573
18238,7408
20009,8548
41290,1210
20608,8911
17181,6860
34198,854
1695,3033
34305,858
28393,668
23103,11128
28091,663
21146,9301
37732,996
16062,6416
35296,473
1770,3047
42266,1294
14530,5865
15136,6085
41529,1235
45851,1715
28910,684
49140,2066
17996,7277
19265,7991
29902,711
13381,601
21928,10002
10386,593
36258,935
33031,814
49229,2083
1315,2956
21839,9901
44735,1617
21461,9557
18666,7631
12080,5159
31101,753
18872,7740
9392,4586
46989,1816
7236,4194
16834,6714
28175,665
3802,3465
46372,1761
28374,668
46021,1727
46764,1801
36392,942
12448,5243
17733,7137
29876,710
20566,8879
22887,10929
41659,1239
53421,2671
45059,1641
44954,1636
48557,1990
11832,5096
39168,1063
12023,5152
38478,1031
39280,491
7015,4158
38270,384
41509,1235
38718,1043
6003,3959
41482,1232
39221,1066
34993,881
35745,911
34847,878
41005,1183
4255,3579
52775,2564
39354,1073
45232,1657
5105,3759
7544,4246
28282,364
8265,4381
1237,2942
15102,6070
11310,4984
53628,552
45781,1708
16991,6787
53710,2719
32436,792
37801,1000
15764,6302
31109,754
47300,394
17028,6798
20119,8583
43483,1421
29613,439
32640,802
44963,1636
8851,4480
3304,3369
9038,587
13466,5530
28745,680
45572,1689
40263,492
22918,10959
1040,2906
42514,1323
13022,600
31986,776
31903,776
12934,5384
22282,10333
6494,4062
37084,969
51740,2403
17831,7190
49480,2116
52826,2573
9690,589
42601,505
42542,1323
22405,10428
28152,665
7480,4238
11693,5067
18358,7469
16356,608
41878,1257
42174,1286
15208,6108
11837,5096
35825,914
50848,2311
46548,1781
51231,2352
33677,837
31227,756
2291,3160
48966,537
39259,1069
42859,1356
6544,4072
21303,9457
48474,1978
31411,764
18663,7629
44049,1549
41086,1192
7131,4173
44036,1547
12885,5369
1611,3012
21938,10012
30826,743
12832,5351
37174,972
11598,5044
16330,6533
51444,2375
29952,445
48513,1984
52253,2488
24699,638
33170,817
10246,4749
14919,6006
50225,2231
17862,7207
360,2805
49703,2147
49107,2064
6347,4032
11002,4914
36985,963
35017,882
22211,10266
15409,6171
2010,3103
44585,1607
7374,4222
20792,9030
31748,772
10529,4805
23237,11248
15526,6221
36561,945
17983,7275
6467,4054
138,2765
2914,3285
33695,838
27916,657
28922,684
31157,755
8108,4348
11508,5020
7510,4241
43633,1433
13230,5463
20609,8911
15452,6187
42910,1363
51535,2386
22847,10886
30902,745
842,2868
51502,2382
30815,743
12434,5242
53414,2670
41911,1261
48877,2036
22502,10539
18633,7602
34586,872
38654,1040
36916,961
8826,4478
36810,956
6811,4118
50278,2239
19726,8298
39145,1061
41860,1257
28718,680
45329,524
4397,571
39782,1094
15172,6097
30638,735
44138,1561
53915,2753
34578,871
38732,1043
7188,4187
15609,6261
1016,2902
38875,1050
3453,3389
15860,6344
46576,1785
16280,6512
21015,9229
47456,1857
21790,9858
13542,5548
23601,11628
44142,1562
8778,4469
293,2797
260,2790
46216,1752
20686,8969
9569,4625
2906,3283
18995,7821
1868,3070
29473,702
28700,680
41007,1184
7958,4321
11470,5013
37729,996
46152,1746
11898,5119
10811,4864
23309,11351
9234,4558
29461,702
18690,619
30303,725
10742,4851
13555,5551
28832,683
35213,892
48908,2041
29626,441
46106,1742
45741,1700
33767,841
20702,625
28743,680
5287,3799
37861,1003
6110,3978
30071,720
29410,700
39592,1084
472,2818
52220,2482
46426,1769
33648,834
17670,7123
31926,776
11777,5083
30087,720
16189,6470
52439,2513
10367,4773
9408,4587
14454,5833
15861,6344
46464,1775
35007,882
34785,877
43727,1438
29312,698
46744,1799
28598,675
584,2835
46100,1741
36828,957
36659,949
33568,830
31042,750
35794,913
2270,3154
47153,1833
38,403
16899,6745
22892,10931
44855,1627
16332,6533
15741,6296
39579,1082
10349,4770
3923,3497
16357,608
42858,1356
32123,784
18156,7357
16578,6619
47742,1891
20851,9072
37135,971
1263,2947
3349,3379
4500,3629
43082,1379
29708,707
51378,2367
51508,2383
11344,4989
42466,1316
53818,2735
11336,4989
53872,2744
5179,3774
5839,3919
22552,10589
15654,6278
2969,3298
48269,1956
26012,644
9448,4594
36567,945
51380,2367
8877,4484
28311,432
4104,3536
694,2853
38173,1014
2315,3167
4700,3677
13175,5447
27945,431
21286,9443
2152,3127
41265,502
20129,8592
37144,972
35966,476
11222,4963
13354,419
1212,2939
21591,9694
17287,6925
42990,1368
43989,394
46258,1754
30576,734
29245,696
9754,4661
51437,2375
37048,967
1983,3093
48249,1952
42022,1267
34536,868
13623,5575
44126,1559
3184,3342
31919,776
7732,581
17747,7145
4873,3713
40662,1154
29785,709
22427,10453
23316,11360
19824,8392
12822,5346
50744,2297
23492,11498
11911,5123
38722,1043
35834,915
487,2822
371,2808
43849,1447
10004,4706
46155,1746
279,2795
50261,2236
5172,3773
28530,675
48506,1982
10788,4860
50787,2304
8281,4382
4336,3599
22585,10639
45966,526
42253,1293
28968,435
18687,7644
51046,2330
9325,4579
17234,6892
16844,6720
34668,872
37053,968
13478,5534
12681,5306
34461,865
47357,1846
50275,2239
1934,3084
49216,2080
5117,3760
36573,945
41376,1220
14992,6039
38521,1033
17065,612
6202,3998
45631,525
37806,1001
36986,964
4186,3558
3063,3311
14911,6002
32714,802
41754,1244
46618,1787
33205,820
37866,1003
40430,1136
33797,842
6911,4136
31733,772
40827,1171
6246,4008
20471,8813
3072,3312
9046,588
16816,6708
40927,499
51276,2359
12013,5149
43899,510
895,2875
51268,2358
4413,3610
30561,734
36027,923
4158,3549
18954,7795
14173,5750
2148,3126
29366,698
27892,655
46321,1756
33439,828
43830,1444
9286,4566
52345,2498
14163,5746
45206,1656
49649,540
29519,703
53279,2650
36700,952
47116,1828
18187,7372
3204,3346
35974,921
11494,5018
16108,6440
18558,7567
2165,3131
8620,4445
38377,1024
34834,878
4936,3730
39495,1079
39883,1103
3176,3338
35309,473
7705,4277
27939,431
20340,8739
4179,3556
32750,803
3326,3375
47309,397
32569,800
29236,696
6147,3989
21229,9376
36756,955
50554,2276
15427,6177
40075,1114
28380,668
36429,942
30749,740
39286,491
11774,5082
16839,6717
21660,9759
51290,2360
20714,625
34981,880
9886,4682
15871,6349
11841,5099
23100,11119
41710,1243
22007,10076
34549,870
22252,10308
33931,463
18193,7380
33872,844
37553,988
12974,5393
52867,2581
50262,2236
37473,984
4141,3545
50630,402
7129,4173
34732,876
9068,4518
21708,627
41090,1192
2709,563
8191,4368
19962,8512
43278,506
38918,1052
49133,2066
12585,5282
21285,9442
527,2826
16031,608
36236,933
49603,2137
19481,8118
23467,11463
22995,11048
7444,4232
9241,4559
7778,4284
2434,3183
41743,1244
29828,710
29244,696
45705,1698
42420,1312
31373,761
18962,7800
18647,7613
24366,636
49895,2177
23071,11104
28369,668
21203,9346
53527,2690
46562,1783
50187,2224
14424,5823
945,2889
36655,949
34963,471
48076,1930
129,2763
10767,4854
49550,2129
34355,863
22801,10824
34951,471
19823,8391
41166,1200
8415,4404
16494,6591
9412,4588
1779,3048
32361,789
3200,3345
19891,8442
31427,764
37507,985
36435,942
43682,1436
34840,878
31757,772
38561,1035
28786,681
19912,8457
45437,1671
34254,856
49677,2143
46988,1816
4587,3653
374,2809
9603,4632
32154,787
46425,1769
2603,3219
50291,542
1986,3095
8052,583
14609,5894
30010,717
34969,472
51448,2376
35930,919
52196,2479
37852,1002
22498,10536
41179,1200
29171,694
2215,3144
29552,705
37830,1002
38433,1026
47334,530
22029,628
19774,8344
5341,3811
41365,1219
36200,931
23554,11565
11030,4919
23721,633
9935,4693
29220,695
7325,4209
47257,1843
30924,745
27931,430
44613,1607
7350,4213
33353,827
52506,2526
35890,918
19880,8431
5092,3755
15553,6237
9865,4679
48219,1949
8727,586
42550,1326
45150,1654
39764,1094
3469,3393
18644,7610
9252,4560
15218,6109
9002,4513
34501,867
29521,703
15390,6166
7868,4308
31500,765
53606,2701
19921,8467
42110,1276
1524,2998
3160,3335
14648,5914
50515,2273
51916,2436
49539,2125
45378,1666
2612,3222
41204,1205
5898,3931
5322,3806
35055,884
48794,2022
18169,7366
13284,5488
52575,2537
29436,700
20666,8952
50915,2318
37206,974
15099,6069
21169,9330
5525,3852
13119,5430
32185,788
8978,4505
44259,1574
5856,3920
2297,3162
6808,4118
10986,4912
17068,612
48932,2043
42069,1272
35949,475
41655,1239
2347,3172
53372,2659
47995,533
40107,1114
32717,802
13145,5438
29586,706
22183,10221
17806,7177
14334,5805
15187,6098
41843,1254
19164,7922
7384,579
32126,784
5829,3916
21802,9875
241,2788
40468,1140
42578,1329
29059,687
31293,758
22136,10169
15265,6129
32308,456
39488,1079
23195,11202
28371,668
49947,2189
33962,845
15213,6108
28885,684
12199,5190
45578,1689
1510,2994
31967,452
53853,2742
15876,6350
41974,1263
9756,4661
35067,886
294,2797
2817,3265
35580,906
7044,4162
11848,5101
20654,8943
31942,776
28006,658
17727,614
36233,933
15646,6272
46720,1793
18266,7418
18856,7729
49491,2117
35802,914
31578,767
37012,965
4110,3538
27763,648
46571,1784
32325,789
22311,10351
10110,4717
30394,730
11269,4972
4943,3732
16430,6562
23222,11229
40423,1134
23565,11575
22947,10993
20010,421
909,2878
4807,3700
42876,1358
40908,1179
21474,9572
12207,5192
8409,4403
14212,5761
6557,4075
45531,1685
15583,6250
19332,8037
30605,447
42005,1265
6025,3965
36723,954
33339,827
22028,628
6438,4045
2773,3253
21163,9323
8156,4360
52564,2536
11196,4957
29678,707
33124,816
8152,4357
45555,1687
42121,1279
32118,784
46003,1725
3330,3376
10829,4871
17350,6962
17525,7055
16878,6734
36562,945
2719,564
43117,1385
42793,1350
53574,2697
38833,1048
44335,521
52820,2573
2382,561
14940,6019
48406,1970
15943,6377
2015,3104
33304,827
41759,1245
33448,828
39461,1078
36544,945
26349,645
14161,5746
14798,5954
37345,982
38430,1026
11079,4924
48907,2041
47131,1829
45370,1665
40482,1141
48714,2010
18449,7504
32696,802
6969,4150
40486,1141
51649,545
18791,7687
8278,4381
13597,5562
35865,917
45582,1689
9639,4639
18379,617
28133,664
5762,3897
13874,5650
34978,472
7019,4158
11357,4994
8853,4480
44201,1569
39379,1074
31007,748
40000,1107
40325,1127
30288,447
33334,827
47802,1901
3845,3475
24057,635
12447,5243
6881,4131
3427,3384
21922,9997
5985,3952
41061,1190
33054,814
16940,6763
30309,726
157,2770
17185,6863
13688,5599
12902,5373
32715,802
53880,2746
46133,1745
19282,8005
23651,11688
21665,9761
3355,3381
20339,8739
28039,659
10145,4724
17911,7234
23761,11817
12276,5211
19228,7965
53218,2637
18232,7404
10087,4712
29770,709
39957,492
9917,4689
23615,11640
51096,2335
2137,3123
11744,5074
14131,5729
53193,2633
43798,1442
52411,2512
38961,489
51393,2368
7080,4163
18734,7653
1844,3063
17151,6847
43235,1397
33517,829
41296,1211
33276,462
47171,1835
11467,5012
2056,561
50659,544
17560,7069
7545,4246
12626,5292
48297,1958
4348,3601
5365,3816
52944,2593
38139,1013
47148,1832
49907,2180
16142,6451
39303,1069
7448,4232
8059,583
31854,776
12829,5350
38504,1031
4266,3581
37464,984
53236,2642
30292,447
35670,909
30402,730
20744,8982
22691,629
46414,1767
2610,3220
7885,4311
52509,2527
49946,2188
53569,2697
2350,3172
41222,1207
10567,4816
7626,4263
10459,4788
9290,4569
17406,6973
3087,3315
40947,500
18437,7500
31228,756
383,2811
31120,754
40140,1116
12314,5221
18138,7345
5330,3808
53298,552
22770,10796
5611,3872
23787,11846
8061,583
15382,606
48984,538
4564,3644
31160,755
36857,958
38465,1030
37264,481
17120,6830
8658,4455
7458,4234
11026,4917
51031,2329
53523,2689
37814,1001
19359,622
26717,645
8130,4355
9871,4679
17006,6789
35502,904
19872,8426
23509,11519
23196,11205
22752,10769
15224,6112
41557,1237
4335,3599
8426,4405
18054,615
31436,764
10819,4868
17376,612
52444,2514
36106,926
37979,1008
22622,10680
27881,654
17990,7276
957,2890
32986,812
42843,1356
13136,5435
12851,5358
32020,778
35517,905
53669,2709
8848,4480
14599,5889
12342,5226
5959,3950
52290,548
12200,5190
27796,649
9079,4521
787,2861
11622,5050
33406,828
45599,1690
13739,604
34844,878
12749,5320
8844,4480
22635,10685
15977,6397
35147,890
1848,3064
5312,3804
35744,911
48189,1945
45641,525
8797,4472
4962,3734
14894,5997
28782,681
34256,857
49893,2177
4422,3613
12710,599
13155,5443
30798,742
53081,2611
18871,7739
36050,924
16927,6758
40624,1153
14180,5752
32251,789
37172,972
15920,6366
16596,6628
4897,3720
38803,1046
34572,871
11880,5111
48232,1949
16571,6618
47779,1896
33850,844
18439,7501
8897,4489
11711,596
31781,773
7326,4209
4617,3663
13005,5405
35738,911
18424,7492
16151,6456
33614,462
35094,886
9542,4620
19879,8430
15565,6240
5468,3837
22771,10796
2703,562
49988,2192
19269,7996
31426,764
7418,4227
4082,3531
51967,545
4829,3705
46790,1806
4552,3643
12210,5192
20130,8592
47490,1864
32772,803
2725,565
50656,544
49167,2072
29951,445
16522,6602
34474,866
6750,4102
38761,1046
46568,1783
17072,6806
45418,1668
53812,2734
16369,608
17050,612
43744,1438
19392,8058
39954,492
3717,3453
36037,923
19177,7930
41577,1238
43319,1402
35342,898
45388,1667
17986,7275
52332,2496
37543,988
31759,772
50193,2225
9517,4613
37726,995
43931,515
6558,4075
18108,7326
34220,855
2437,3184
16951,6771
44857,1627
19402,8062
12458,5248
21952,10020
34285,468
617,2839
2020,3105
2856,3274
20004,8543
15283,6133
51701,2400
43055,1376
28866,684
52172,2475
20162,8619
1288,2952
17711,613
15991,6399
17402,6970
21206,9348
28521,674
34397,863
31018,749
15493,6208
52541,2531
3143,3332
48437,1974
31518,765
29510,702
16897,6745
8926,4497
12661,5301
44934,1633
34337,862
16653,6659
44,403
2166,3131
16328,6532
3942,3502
9386,589
4333,3599
1845,3063
38880,1050
28281,364
53080,2611
9395,4586
33975,846
12022,5152
41168,1200
11971,5140
2905,3283
11439,5005
17936,7244
51249,2355
32059,780
11920,5124
3911,3494
21659,9757
17267,6913
28273,362
38830,1048
23363,423
37592,485
41893,1259
52250,2487
6376,576
7145,4179
22299,10345
2489,3195
35877,918
6816,4118
2546,3206
13153,5442
31851,776
51829,2421
12247,5204
51050,2331
38662,1040
49630,540
22641,10688
4898,3721
9694,589
490,2822
3930,3499
45522,1684
30429,730
42599,1331
42779,1349
50571,2278
32950,460
38329,1020
3565,3418
40963,1179
40535,1148
9640,4639
31688,770
9222,4557
36005,921
43862,1449
13179,5450
7261,4199
17734,7139
22018,10080
15863,6346
49077,2060
11063,596
9492,4608
1015,2901
4360,3604
8357,4398
35594,907
21423,9530
11885,5113
45079,1644
48087,1932
53186,2632
20198,8639
35216,892
53307,552
20893,9116
36061,924
38213,1016
42093,1274
51040,2329
43488,1421
10997,4914
7773,4284
28766,680
14675,5922
51247,2354
12786,5331
4769,3690
4914,3724
22289,10338
3223,3351
7603,4258
14719,605
40119,1115
29025,687
28364,667
5946,3947
40944,500
34131,854
2993,3303
31774,773
53049,2606
29397,698
33363,827
13700,5600
52047,2451
8173,4363
17407,6973
28724,680
272,2793
9611,4633
43518,1424
21967,10038
51779,2411
17396,612
49503,2120
48541,1987
266,2792
27704,648
8587,4439
41213,1206
22333,10378
18586,7584
51436,2374
40368,1130
14032,5704
45306,524
34301,858
53644,2703
41668,1240
2188,3137
5145,3765
38309,488
31913,776
48671,2003
3354,3380
20580,8889
20657,8946
41822,1250
34405,863
11541,5028
7780,4284
6786,4113
7620,4260
1952,3087
46981,1815
13611,5570
53933,2757
49169,2074
34167,854
17119,6830
17834,7192
32306,456
2087,3112
22244,10300
38085,1013
20115,8581
15882,6352
36049,924
33808,842
50116,2210
34743,876
4063,571
6604,4081
34136,854
16766,6677
43424,1415
49849,2170
11923,5125
15086,6063
28799,682
281,2795
52593,2540
20793,9030
21184,9336
12897,5373
42508,1322
39576,1081
8219,4372
14904,5999
45686,1696
3590,3423
46625,526
50590,2282
19576,8205
29454,702
43560,1430
16272,6509
11204,4959
46353,1759
30799,742
38020,1009
39452,1077
50233,2232
17100,6818
34820,878
42399,1308
22290,10339
11189,4956
47535,1871
43672,1436
16753,6670
33464,828
15888,6353
31222,756
50420,2259
17541,7059
11895,5116
20952,9169
26708,645
53459,2677
9856,4678
16193,6471
46866,1813
31214,756
13916,5664
359,2805
39179,1063
47187,1837
30187,722
33265,826
21018,9231
2805,3263
2819,3265
53147,2623
3894,3489
31899,776
43605,507
12180,5183
42024,1267
53585,2699
13925,5666
44924,1632
9843,4675
41445,1229
2038,3107
47993,533
32160,787
12359,5231
46541,1781
20180,8630
23451,11442
4606,3660
44032,1547
32973,811
49025,2052
20633,8928
786,2861
49934,2185
16314,6529
22318,10359
10005,4706
10150,4725
51719,2401
17534,7056
38268,384
39335,1072
35300,473
45080,1645
40540,1148
13460,5527
42328,1295
10143,4724
14722,605
9006,4513
35359,898
2886,3281
50346,2245
36838,957
5467,3837
33523,829
2100,3115
50483,2268
17328,6951
3689,3447
30744,739
4986,3740
53809,2733
38157,1014
19781,8348
4135,3544
7835,4299
23465,11460
35604,907
11174,4951
11938,5129
53141,2622
15337,6159
18269,7419
52594,2541
4719,572
16972,6777
9656,4642
33701,838
31180,756
9355,4585
42193,1286
15533,6223
35335,898
53228,2641
30688,737
51595,2394
6259,4011
20655,8943
21041,625
33988,847
39357,1073
33285,462
23224,11230
20093,8572
53079,2611
39107,1061
43182,1392
52060,2453
5442,3830
7231,4194
12729,5313
31245,757
30311,726
22362,628
43460,1417
43478,1420
30176,721
49093,2062
35093,886
39215,1066
51900,2433
53199,2633
36531,945
50899,2318
19804,8370
22448,10477
61,552
42573,1327
19851,8411
50642,544
18065,7294
40924,499
49310,540
30347,727
44544,1605
1214,2939
7230,4194
15751,6300
8606,4443
38800,1046
40207,1122
45191,1656
45825,1712
37277,484
47488,1864
43932,515
23288,11313
19744,8314
45110,1650
23781,11843
35905,918
47324,530
20584,8893
46082,1738
49614,2138
48448,1974
52825,2573
11589,5041
10168,4731
8093,4341
30460,732
37932,486
11389,596
44225,1571
30156,720
37037,967
17985,7275
5447,3830
1997,3098
11227,4964
29013,686
18576,7577
44231,1572
43242,1400
42905,1362
39043,1056
13227,5461
8709,586
40362,1129
29342,698
53432,2671
16874,6733
41338,1216
6563,4077
48246,1952
15821,6330
11742,5073
39515,1080
45706,1698
7843,4303
9359,4586
29087,689
27949,432
11645,5053
1472,2982
39945,492
22702,630
19682,623
29459,702
12956,5387
32904,810
7329,4209
14373,605
10402,593
40339,1129
14827,5973
9078,4521
19091,7862
6747,579
47426,1852
28087,662
20182,8631
7141,4177
20915,9129
33301,826
12365,597
41882,1258
22867,10907
5166,3770
44212,1571
8918,4496
36003,921
41069,1192
44236,1573
188,2777
31200,756
35637,475
14503,5858
5204,3780
8810,4476
7523,4242
43150,1389
6277,4015
44968,1637
54,404
36069,924
16486,6588
50633,402
16549,6612
19506,8138
22399,10424
11126,4939
39026,1056
31944,776
29376,698
49023,2052
27895,655
31137,755
32556,800
45323,524
44964,1636
7057,579
15503,6209
33822,842
42277,505
48108,1935
40560,1151
14315,5799
14965,6027
22346,10396
46962,528
47934,1915
32732,802
5459,3833
41206,1205
30819,743
15089,6065
37756,998
46697,1792
8883,4486
49975,541
22371,628
32836,807
4059,571
51018,2327
539,2827
14642,5913
53902,2753
4472,3622
3339,3377
53073,2610
14191,5758
15221,6111
18296,7437
12834,5352
18589,7584
3610,3427
33061,814
14308,5795
18300,7438
48790,2022
41188,1202
32404,791
1182,2930
48464,1977
30256,725
35630,473
23318,11360
40602,498
15035,605
47939,1915
18604,7589
9202,4550
52322,2495
45155,1654
48254,1953
49190,2076
35643,907
38028,1010
16364,608
37665,992
22416,10439
35184,891
34796,877
6587,4078
17878,7215
17498,7032
16390,6543
262,2791
11141,4939
46201,1749
20176,8629
40074,1114
37818,1002
9168,4542
13729,603
15290,6137
33972,846
3897,3489
53699,2717
7237,4194
33971,846
10420,4782
49376,2100
39882,1103
7069,579
45450,1674
34002,847
46484,1777
5602,3871
53435,2673
33080,814
21597,9698
51621,2396
12510,5259
19574,8204
52285,2494
6926,4138
32540,799
13058,5411
6352,4034
37516,986
17045,612
46960,527
46782,1805
42754,1343
39414,1076
15161,6095
11377,596
33611,462
26715,645
39211,1065
48046,1926
19074,7848
41934,1263
12429,5241
33369,827
41888,1259
15944,6377
39140,1061
51906,2434
1648,3018
42440,1314
20557,8870
12978,5394
51367,2365
17324,6947
52535,2530
3013,3306
2662,3235
37667,992
39797,1095
51174,2346
2368,3176
37699,994
51737,2402
21979,10046
13312,5497
17145,6843
42609,505
31541,766
18897,7751
50814,2307
51805,2415
8740,4463
47448,1857
46314,526
23267,11276
21319,9471
7491,4239
17591,7080
51972,546
18408,7481
21406,9519
44827,1624
43369,1408
648,2843
32334,789
47407,1849
28219,666
9413,4588
9307,4574
36391,942
22853,10888
45426,1669
16602,6632
22571,10622
32447,792
29803,709
7744,4278
10467,4791
3664,3443
40039,1111
42115,1278
29867,710
53774,2726
6249,4009
45018,1637
10343,4769
48855,2033
29122,690
6655,4093
7962,4321
2624,3226
30353,728
19621,8239
47916,1915
18970,7808
3357,3382
20448,8794
14768,5944
28427,670
34318,859
47940,1915
33117,816
10096,4713
13081,5416
53151,2623
35537,906
17056,612
7455,4234
36708,953
16848,6720
51482,2379
30548,734
38826,1048
15305,6145
30435,730
43290,1400
48136,1940
41064,1191
45624,1692
53782,2728
2600,3219
7119,4171
37214,974
39826,1097
29225,695
49937,2187
19166,7923
29347,698
37723,995
3398,567
34508,868
53840,2738
53615,552
45898,1720
11484,5015
46943,1815
26362,645
21392,9510
19298,8014
33730,839
708,2854
38125,1013
47164,1834
47114,1828
7553,4249
29155,693
52353,2501
50277,2239
49524,2123
4782,3694
23482,11484
1280,2951
15695,607
8332,4395
10910,4890
31448,765
25024,640
12547,5271
45052,1641
13720,603
18855,7729
52852,2577
46921,1815
29823,709
38159,1014
23459,11455
23357,422
18090,7312
9676,4648
20832,9058
3050,566
11511,5021
