,carat,x,z
29025,0.33,4.5,2.78
28364,0.4,4.74,2.87
5946,0.72,5.78,3.54
40944,0.31,4.34,2.71
34131,0.32,4.42,2.72
2993,0.9,6.18,3.79
31774,0.32,4.37,2.74
53049,0.7,5.77,3.46
29397,0.31,4.36,2.67
33363,0.41,4.78,2.99
13700,1.13,6.75,4.1
52047,0.8,5.99,3.67
8173,1.02,6.42,4.01
17407,1.2,6.74,4.22
28724,0.31,4.36,2.71
272,0.7,5.6,3.61
9611,1.02,6.41,4.0
43518,0.61,5.47,3.38
21967,1.22,6.81,4.25
51779,0.7,5.58,3.56
17396,0.32,4.4,2.75
49503,0.55,5.25,3.25
48541,0.5,5.16,3.06
266,0.7,5.71,3.53
27704,0.36,4.6,2.82
8587,1.01,6.43,3.98
41213,0.52,5.16,3.19
22333,1.35,7.15,4.39
18586,1.0,6.47,3.88
51436,0.74,5.83,3.6
40368,0.5,5.12,3.18
14032,1.02,6.41,4.02
45306,0.3,4.32,2.68
34301,0.4,4.7,2.97
53644,0.73,5.76,3.59
41668,0.4,4.76,2.93
2188,0.71,5.78,3.53
5145,1.51,7.16,4.66
38309,0.31,4.34,2.71
31913,0.3,4.3,2.71
48671,0.5,5.09,3.16
3354,0.71,5.88,3.45
20580,1.13,6.67,4.12
20657,1.05,6.6,4.02
41822,0.5,5.11,3.17
34405,0.3,4.33,2.67
11541,1.21,6.7,4.28
7780,0.9,6.25,3.83
6786,1.02,6.48,3.99
7620,1.01,6.37,4.04
1952,0.7,5.58,3.58
46981,0.55,5.23,3.21
13611,1.09,6.55,4.1
53933,0.7,5.69,3.49
49169,0.72,5.73,3.61
34167,0.33,4.47,2.76
17119,1.32,6.96,4.41
17834,1.03,6.53,3.98
32306,0.26,4.09,2.55
2087,0.79,5.89,3.64
22244,1.52,7.51,4.53
38085,0.3,4.35,2.68
20115,1.51,7.25,4.57
15882,1.0,6.34,4.0
36049,0.31,4.38,2.71
33808,0.32,4.37,2.73
50116,0.7,5.59,3.58
34743,0.41,4.8,2.97
4063,0.31,4.28,2.73
6604,0.93,6.37,3.78
34136,0.32,4.37,2.73
16766,1.4,7.12,4.46
43424,0.35,5.57,3.66
49849,0.56,5.24,3.3
11923,1.09,6.53,4.1
15086,1.05,6.68,3.98
28799,0.27,4.17,2.58
281,0.72,5.72,3.6
52593,0.96,6.07,3.97
20793,1.52,7.39,4.5
21184,1.51,7.38,4.57
12897,1.07,6.61,4.1
42508,0.5,5.09,3.15
39576,0.42,4.78,2.99
8219,1.09,6.56,4.11
14904,1.01,6.37,4.03
45686,0.54,5.25,3.25
3590,0.91,6.17,3.79
46625,0.3,4.26,2.68
50590,0.71,5.58,3.6
19576,1.53,7.34,4.6
29454,0.4,4.82,2.9
43560,0.51,5.01,3.23
16272,1.01,6.22,4.04
11204,1.13,6.66,4.15
46353,0.61,5.54,3.28
30799,0.3,4.27,2.69
38020,0.39,4.65,2.93
39452,0.5,5.04,3.19
50233,0.7,5.66,3.55
17100,1.0,6.21,4.05
34820,0.3,4.32,2.7
42399,0.51,5.05,3.22
22290,1.53,7.42,4.55
11189,1.18,6.81,4.17
47535,0.51,5.04,3.2
43672,0.5,5.16,3.05
16753,1.01,6.49,4.0
33464,0.32,4.46,2.64
15888,1.01,6.34,4.06
31222,0.32,4.38,2.76
50420,0.55,5.31,3.23
17541,1.01,6.6,3.88
11895,1.06,6.59,4.05
20952,1.07,6.6,4.09
26708,0.32,4.41,2.76
53459,0.7,5.65,3.56
9856,0.9,6.18,3.82
16193,1.07,6.55,4.07
46866,0.53,5.2,3.21
31214,0.32,4.42,2.7
13916,1.19,6.84,4.23
359,0.74,5.82,3.53
39179,0.35,4.54,2.82
47187,0.57,5.31,3.31
30187,0.4,4.62,2.99
33265,0.3,4.28,2.69
21018,1.01,6.49,3.91
2805,0.75,5.76,3.61
2819,1.0,6.26,4.07
53147,0.73,5.75,3.57
3894,0.77,5.86,3.6
31899,0.3,4.34,2.65
43605,0.31,4.45,2.62
12180,1.06,6.55,4.08
42024,0.52,5.25,3.16
53585,0.88,6.06,3.83
13925,1.02,6.44,4.03
44924,0.58,5.35,3.34
9843,1.05,6.64,4.02
41445,0.53,5.23,3.21
2038,0.7,5.62,3.52
47993,0.32,4.4,2.75
32160,0.38,4.66,2.84
12359,1.11,6.72,4.09
46541,0.51,5.15,3.15
20180,1.6,7.59,4.59
23451,1.5,7.21,4.53
4606,0.91,6.01,3.83
44032,0.72,5.75,3.48
32973,0.37,4.6,2.86
49025,0.76,5.94,3.55
20633,1.27,6.97,4.24
786,0.62,5.48,3.38
49934,0.71,5.64,3.55
16314,1.01,6.37,4.03
22318,1.31,6.97,4.34
10005,1.01,6.43,3.9
10150,1.1,6.56,4.22
51719,0.7,5.6,3.58
17534,1.01,6.44,3.97
38268,0.3,4.29,2.68
39335,0.57,5.27,3.34
35300,0.3,4.27,2.65
45080,0.57,5.33,3.31
40540,0.36,4.59,2.82
13460,1.01,6.41,4.0
42328,0.41,4.75,2.95
10143,0.9,6.21,3.81
14722,0.3,4.3,2.68
9006,1.01,6.39,3.96
35359,0.38,4.72,2.81
2886,0.71,5.74,3.58
50346,0.58,5.36,3.31
36838,0.37,4.61,2.82
5467,0.77,5.93,3.63
33523,0.47,4.84,3.24
2100,0.86,6.02,3.85
50483,0.7,5.69,3.55
17328,1.01,6.4,4.0
3689,0.9,6.11,3.74
30744,0.43,4.8,3.07
4986,1.0,6.27,3.97
53809,0.7,5.72,3.52
38157,0.53,5.17,3.26
19781,1.21,6.83,4.24
4135,0.81,5.92,3.72
7835,1.01,6.5,3.97
23465,1.51,7.26,4.57
35604,0.31,4.32,2.72
11174,0.7,5.68,3.52
11938,1.03,6.46,4.02
53141,0.7,5.71,3.54
15337,1.01,6.37,4.01
18269,1.44,7.25,4.49
52594,0.7,5.66,3.52
4719,0.24,3.99,2.48
16972,1.22,6.88,4.23
9656,1.01,6.38,4.03
33701,0.3,4.3,2.66
31180,0.32,4.43,2.71
9355,1.02,6.35,4.01
42193,0.5,5.11,3.07
15533,1.47,7.36,4.4
35335,0.32,4.42,2.72
53228,0.71,5.59,3.59
30688,0.4,4.64,2.93
51595,0.7,5.69,3.51
6259,0.92,6.22,3.87
20655,1.53,7.34,4.59
21041,0.31,4.35,2.67
33988,0.42,4.81,2.9
39357,0.44,4.91,3.03
33285,0.31,4.35,2.74
23224,1.53,7.33,4.6
20093,1.57,7.46,4.55
53079,0.59,5.34,3.35
39107,0.41,4.78,2.95
43182,0.59,5.3,3.32
52060,0.7,5.65,3.52
5442,1.14,6.72,4.16
7231,1.01,6.35,4.02
12729,1.03,6.43,3.9
31245,0.34,4.63,2.68
30311,0.31,4.31,2.69
22362,0.31,4.36,2.66
43460,0.55,5.18,3.33
43478,0.5,5.2,3.11
30176,0.29,4.26,2.62
49093,0.62,5.51,3.41
35093,0.3,4.3,2.69
39215,0.32,4.47,2.72
51900,0.7,5.66,3.48
53199,0.79,5.88,3.71
36531,0.42,4.8,2.95
50899,0.56,5.32,3.32
19804,1.73,7.6,4.82
22448,1.72,7.77,4.74
61,0.3,4.23,2.66
42573,0.5,5.13,3.08
19851,1.18,6.74,4.23
50642,0.31,4.29,2.74
18065,1.04,6.47,4.01
40924,0.3,4.29,2.67
49310,0.4,4.75,2.96
30347,0.33,4.46,2.73
44544,0.5,5.14,3.14
1214,0.83,5.99,3.72
7230,0.95,6.17,3.88
15751,1.32,7.12,4.34
8606,1.2,6.78,4.21
38800,0.31,4.36,2.75
40207,0.51,5.1,3.18
45191,0.51,5.06,3.17
45825,0.55,5.3,3.24
37277,0.23,3.92,2.42
47488,0.72,5.76,3.58
43932,0.3,4.29,2.67
23288,2.08,8.49,4.83
19744,1.47,7.38,4.53
45110,0.54,5.26,3.18
23781,1.73,7.57,4.81
35905,0.32,4.41,2.73
47324,0.23,3.93,2.42
20584,1.5,7.26,4.55
46082,0.5,5.03,3.16
49614,0.7,5.68,3.56
48448,0.7,5.58,3.63
52825,0.7,5.77,3.39
11589,1.21,6.7,4.31
10168,0.91,6.22,3.84
8093,1.02,6.42,4.03
30460,0.32,4.39,2.7
37932,0.26,4.13,2.51
11389,0.34,4.44,2.73
44225,0.54,5.27,3.24
30156,0.3,4.36,2.67
37037,0.38,4.68,2.87
17985,1.07,6.56,4.05
5447,1.2,6.91,4.18
1997,1.29,6.93,4.42
11227,1.02,6.34,4.05
29013,0.34,4.48,2.72
18576,1.23,6.91,4.21
44231,0.59,5.42,3.3
43242,0.42,4.82,2.98
42905,0.5,5.01,3.11
39043,0.4,4.81,2.93
13227,1.06,6.59,4.01
8709,0.39,4.66,2.89
40362,0.43,4.86,3.0
29342,0.31,4.43,2.63
53432,0.74,5.82,3.57
16874,1.03,6.62,3.97
41338,0.42,4.76,2.98
6563,1.01,6.68,3.79
48246,0.49,5.04,3.14
15821,1.01,6.44,3.93
11742,1.1,6.59,4.14
39515,0.32,4.43,2.72
45706,0.56,5.34,3.25
7843,1.09,6.79,4.01
9359,1.0,6.3,3.99
29087,0.34,4.58,2.76
27949,0.3,4.27,2.68
11645,1.14,6.78,4.07
1472,0.71,5.72,3.57
39945,0.24,3.85,2.52
22702,0.35,4.55,2.82
19682,0.33,4.45,2.75
29459,0.33,4.39,2.71
12956,1.0,6.44,3.94
32904,0.33,4.42,2.73
7329,0.91,6.11,3.86
14373,0.3,4.3,2.59
10402,0.31,4.37,2.69
40339,0.39,4.68,2.88
14827,1.01,6.41,3.97
9078,1.08,6.57,4.07
19091,1.8,7.77,4.88
6747,0.33,4.47,2.7
47426,0.53,5.24,3.16
28087,0.3,4.26,2.69
20182,1.52,7.37,4.6
7141,1.11,6.66,4.09
20915,1.52,7.2,4.63
33301,0.51,5.29,3.05
12365,0.26,4.24,2.49
41882,0.57,5.35,3.31
22867,1.53,7.42,4.55
5166,1.02,6.75,3.89
44212,0.52,5.11,3.22
8918,1.07,6.57,4.06
36003,0.32,4.4,2.73
41069,0.51,5.19,3.12
44236,0.57,5.35,3.23
188,0.71,5.64,3.56
31200,0.32,4.53,2.68
35637,0.24,3.95,2.51
14503,1.24,6.99,4.21
5204,1.0,6.34,4.02
8810,1.2,6.7,4.27
7523,1.01,6.51,3.89
43150,0.58,5.33,3.31
6277,0.71,5.75,3.54
44968,0.5,5.04,3.17
54,0.22,3.91,2.31
36069,0.4,4.73,2.97
16486,1.29,7.02,4.31
50633,0.23,3.97,2.44
16549,1.0,6.42,3.97
19506,1.0,6.36,3.98
22399,2.77,8.93,5.56
11126,1.0,6.45,3.86
39026,0.43,4.81,3.0
31944,0.3,4.34,2.65
29376,0.31,4.36,2.73
49023,0.57,5.33,3.32
27895,0.39,4.66,2.91
31137,0.38,4.67,2.9
32556,0.32,4.44,2.71
45323,0.3,4.32,2.67
44964,0.53,5.16,3.28
7057,0.33,4.41,2.76
15503,1.5,7.12,4.75
33822,0.32,4.37,2.68
42277,0.23,3.89,2.47
48108,0.5,5.09,3.15
40560,0.41,4.73,2.98
14315,1.16,6.7,4.19
14965,1.01,6.63,3.9
22346,1.56,7.45,4.58
46962,0.32,4.38,2.71
47934,0.56,5.35,3.28
32732,0.31,4.32,2.73
5459,1.01,6.42,3.95
41206,0.53,5.21,3.22
30819,0.33,4.56,2.68
15089,1.11,6.83,4.14
37756,0.38,4.66,2.86
46697,0.56,5.29,3.26
8883,1.01,6.47,3.99
49975,0.29,4.27,2.65
22371,0.31,4.34,2.73
32836,0.44,4.92,3.02
4059,0.32,4.41,2.75
51018,0.71,5.76,3.51
539,0.7,5.69,3.52
14642,1.2,6.7,4.28
53902,0.77,5.98,3.59
4472,0.98,6.38,3.91
3339,0.7,5.74,3.47
53073,0.71,5.69,3.52
14191,0.92,6.25,3.92
15221,1.24,6.91,4.25
18296,1.54,7.34,4.64
12834,1.2,6.73,4.19
18589,1.22,6.81,4.26
3610,0.9,6.08,3.89
33061,0.3,4.3,2.67
14308,1.04,6.61,4.01
18300,1.47,7.34,4.37
48790,0.55,5.22,3.27
41188,0.51,5.19,3.15
32404,0.37,4.61,2.86
1182,0.9,6.23,3.65
48464,0.58,5.41,3.27
30256,0.31,4.3,2.7
35630,0.3,4.25,2.65
23318,1.7,7.72,4.74
40602,0.23,3.92,2.48
15035,0.3,4.31,2.67
47939,0.6,5.53,3.3
18604,1.16,6.65,4.21
9202,1.04,6.53,4.01
52322,0.8,5.96,3.7
45155,0.5,5.14,3.12
48254,0.72,5.75,3.52
49190,0.71,5.67,3.55
35643,0.31,4.38,2.69
38028,0.4,4.68,2.92
16364,0.33,4.43,2.74
37665,0.42,4.9,2.99
22416,1.16,6.7,4.16
35184,0.31,4.37,2.7
34796,0.5,4.97,3.15
6587,1.01,6.5,3.97
17878,1.22,6.92,4.26
17498,1.09,6.65,4.04
16390,1.27,7.03,4.31
262,0.73,5.74,3.58
11141,1.05,6.54,4.05
46201,0.51,5.12,3.1
20176,1.21,6.79,4.24
40074,0.3,4.32,2.68
37818,0.51,5.03,3.19
9168,1.27,6.71,4.44
13729,0.27,4.22,2.58
15290,1.31,7.1,4.3
33972,0.31,4.35,2.72
3897,0.91,6.13,3.88
53699,0.9,6.14,3.86
7237,0.9,6.21,3.79
33971,0.27,4.16,2.56
10420,1.03,6.46,4.03
49376,0.7,5.75,3.5
39882,0.42,4.78,2.99
7069,0.33,4.51,2.68
45450,0.51,5.21,3.19
34002,0.42,4.76,2.99
46484,0.62,5.43,3.41
5602,0.96,6.32,3.91
53435,0.72,5.82,3.56
33080,0.3,4.37,2.61
21597,1.23,6.95,4.23
51621,0.71,5.49,3.65
12510,0.92,6.28,3.79
19574,1.09,6.67,4.05
52285,0.71,5.67,3.59
6926,1.01,6.38,4.05
32540,0.27,4.16,2.56
13058,1.01,6.35,4.0
6352,0.9,6.25,3.77
37516,0.33,4.42,2.76
17045,0.28,4.22,2.57
46960,0.36,4.58,2.81
46782,0.55,5.24,3.23
42754,0.56,5.27,3.27
39414,0.41,4.79,2.98
15161,1.14,6.81,4.08
11377,0.4,4.7,2.97
33611,0.31,4.28,2.7
26715,0.32,4.35,2.71
39211,0.52,5.22,3.18
48046,0.71,5.73,3.48
19074,1.54,7.51,4.54
41934,0.4,4.74,2.89
12429,1.03,6.5,4.0
33369,0.41,4.73,2.94
41888,0.41,4.78,2.96
15944,1.24,6.99,4.24
39140,0.41,4.74,2.91
51906,0.73,5.81,3.54
1648,0.7,5.71,3.45
42440,0.55,5.29,3.27
20557,1.2,6.73,4.25
12978,1.01,6.57,3.94
51367,0.71,5.77,3.54
17324,1.22,6.89,4.22
52535,0.71,5.67,3.55
3013,0.76,5.85,3.63
2662,0.7,5.71,3.57
37667,0.42,4.84,3.02
39797,0.5,5.08,3.16
51174,0.34,4.59,2.74
2368,0.9,6.05,3.86
37699,0.48,5.13,3.03
51737,0.65,5.55,3.43
21979,1.0,6.41,3.93
13312,1.01,6.29,3.93
17145,1.01,6.34,4.04
42609,0.32,4.37,2.72
31541,0.3,4.28,2.66
18897,1.07,6.61,4.03
50814,0.7,5.67,3.54
51805,0.75,5.88,3.54
8740,0.9,6.3,3.78
47448,0.53,5.14,3.21
46314,0.3,4.26,2.73
23267,2.04,8.1,5.01
21319,1.23,6.94,4.21
7491,1.01,6.3,3.96
17591,1.59,7.28,4.73
51972,0.26,4.18,2.5
18408,1.03,6.5,4.0
21406,1.39,7.24,4.48
44827,0.52,5.19,3.21
43369,0.58,5.33,3.32
648,0.72,5.71,3.55
32334,0.3,4.26,2.69
47407,0.52,4.98,3.29
28219,0.33,4.44,2.7
9413,1.01,6.29,4.04
9307,1.21,6.93,4.13
36391,0.31,4.38,2.7
22853,1.22,6.91,4.23
45426,0.55,5.16,3.23
16602,1.91,7.76,4.99
22571,1.22,6.77,4.26
32447,0.43,4.8,3.03
29803,0.3,4.31,2.71
7744,1.24,6.98,4.23
10467,1.21,6.8,4.24
3664,1.0,6.13,4.02
40039,0.52,5.12,3.22
42115,0.4,4.79,2.92
29867,0.3,4.27,2.69
53774,0.79,5.86,3.72
6249,0.9,6.09,3.85
45018,0.54,5.22,3.25
10343,1.11,6.61,4.12
48855,0.5,5.05,3.17
29122,0.4,4.69,2.96
6655,1.02,6.57,3.78
7962,1.12,6.63,4.13
2624,0.9,6.29,3.61
30353,0.33,4.47,2.76
19621,1.0,6.47,3.97
47916,0.56,5.3,3.28
18970,1.13,6.7,4.1
3357,0.92,6.14,3.9
20448,1.04,6.51,4.04
14768,1.01,6.42,3.96
28427,0.3,4.34,2.68
34318,0.46,4.98,3.08
47940,0.38,4.74,2.85
33117,0.31,4.31,2.71
10096,1.0,6.35,3.92
13081,1.01,6.45,4.03
53151,0.7,5.75,3.49
35537,0.38,4.64,2.89
17056,0.28,4.09,2.65
7455,1.0,6.34,3.97
36708,0.46,4.89,3.07
16848,1.0,6.37,3.99
51482,0.74,5.86,3.53
30548,0.31,4.35,2.68
38826,0.42,4.83,2.98
15305,1.4,7.05,4.49
30435,0.32,4.33,2.74
43290,0.5,5.12,3.17
48136,0.7,5.75,3.46
41064,0.4,4.67,2.95
45624,0.55,5.27,3.21
53782,0.73,5.77,3.58
2600,1.18,6.8,4.09
7119,1.01,6.33,3.93
37214,0.34,4.53,2.79
39826,0.39,4.68,2.9
29225,0.31,4.34,2.71
49937,0.7,5.66,3.55
19166,1.63,7.59,4.71
29347,0.31,4.39,2.73
37723,0.34,4.49,2.75
3398,0.3,4.3,2.7
34508,0.33,4.39,2.73
53840,0.71,5.69,3.45
53615,0.3,4.3,2.69
45898,0.52,5.19,3.18
11484,1.11,6.77,3.94
46943,0.52,5.21,3.2
26362,0.32,4.4,2.66
21392,1.73,7.72,4.71
19298,1.22,6.77,4.27
33730,0.35,4.58,2.77
708,0.68,5.67,3.49
38125,0.3,4.33,2.69
47164,0.46,4.95,3.07
47114,0.65,5.5,3.43
7553,1.21,6.81,4.26
29155,0.3,4.27,2.64
52353,0.7,5.71,3.43
50277,0.7,5.85,3.44
49524,0.54,5.25,3.2
4782,1.21,6.93,4.07
23482,1.5,7.31,4.5
1280,0.72,5.65,3.55
15695,0.29,4.25,2.66
8332,1.16,6.55,4.2
10910,1.04,6.58,3.94
31448,0.4,4.83,2.88
25024,0.3,4.47,2.52
12547,1.01,6.4,3.76
45052,0.52,5.06,3.24
13720,0.39,4.71,2.89
18855,1.03,6.58,3.97
52852,0.7,5.6,3.57
46921,0.52,5.21,3.2
29823,0.3,4.32,2.63
38159,0.34,4.48,2.79
23459,1.2,6.76,4.21
23357,0.3,4.32,2.7
18090,1.27,7.11,4.2
9676,1.52,6.92,4.81
20832,1.51,7.24,4.57
3050,0.27,4.18,2.54
11511,1.01,6.32,4.01
49896,0.59,5.42,3.28
10449,1.14,6.7,4.16
9999,1.0,6.2,4.0
17090,1.04,6.49,4.01
21813,1.18,6.79,4.22
34851,0.3,4.32,2.67
11675,1.0,6.49,3.9
1144,0.53,5.24,3.21
51853,0.7,5.78,3.43
17743,1.32,7.14,4.24
44792,0.5,5.11,3.13
44768,0.41,4.82,2.95
20640,1.34,7.07,4.36
35852,0.32,4.44,2.7
22121,1.57,7.38,4.57
8781,1.0,6.36,3.88
38484,0.42,4.86,2.96
53894,0.71,5.76,3.5
11877,1.25,6.86,4.35
34388,0.41,4.74,2.9
3821,0.9,6.23,3.64
40836,0.4,4.72,2.92
14050,0.32,4.35,2.72
8531,1.28,6.93,4.28
35530,0.32,4.4,2.71
47167,0.52,5.21,3.16
34121,0.39,4.66,2.91
28034,0.3,4.28,2.68
43833,0.59,5.39,3.3
10387,0.3,4.25,2.64
11638,1.01,6.51,3.83
3240,0.71,5.69,3.54
13899,1.01,6.56,3.87
7663,1.06,6.57,4.07
39995,0.41,4.79,2.99
37654,0.42,4.9,2.95
7747,0.91,6.33,3.79
23051,1.01,6.4,4.02
10635,1.2,6.81,4.16
47577,0.54,5.23,3.22
20303,1.64,7.58,4.71
38946,0.31,4.31,2.72
33379,0.41,4.75,2.98
48991,0.72,5.67,3.53
53607,0.74,5.8,3.61
12799,1.03,6.4,4.03
28752,0.31,4.3,2.7
19581,1.07,6.51,4.1
48708,0.7,5.65,3.53
28775,0.32,4.4,2.72
10392,0.31,4.38,2.73
8495,0.92,6.22,3.86
4010,0.9,6.12,3.83
20768,1.2,6.75,4.18
25367,0.32,4.48,2.68
14070,1.04,6.53,4.0
17252,1.52,7.19,4.66
8887,1.02,6.31,4.02
20345,1.15,6.69,4.17
2070,0.76,5.79,3.64
737,0.31,4.35,2.69
47100,0.51,5.18,3.16
41573,0.52,5.18,3.21
9944,0.96,6.29,3.85
31316,0.32,4.36,2.7
35677,0.42,4.79,2.92
7213,1.01,6.29,4.05
29746,0.43,4.88,3.01
33997,0.42,4.76,2.98
17445,1.01,6.39,3.99
48137,0.7,5.7,3.49
22291,2.18,8.25,5.14
13610,1.02,6.48,4.01
3843,0.78,5.86,3.67
52655,0.72,5.78,3.59
5390,0.3,4.34,2.64
11601,1.08,6.7,3.96
16355,0.3,4.28,2.66
33057,0.3,4.33,2.66
51645,0.31,4.35,2.69
43306,0.5,5.05,3.18
34490,0.43,4.81,3.01
53760,0.83,6.02,3.72
29415,0.42,4.78,2.98
41181,0.4,4.73,2.93
42433,0.46,4.94,3.05
47036,0.55,5.29,3.25
51470,0.84,6.17,3.73
40639,0.41,4.75,2.93
27908,0.26,4.09,2.56
29973,0.32,4.45,2.72
8993,1.0,6.36,3.9
2247,0.91,6.05,3.79
52886,0.72,5.84,3.53
21816,1.31,7.01,4.37
7647,1.01,6.45,3.86
45326,0.32,4.31,2.74
8408,1.06,6.52,4.11
22336,1.02,6.55,4.01
40527,0.52,5.01,3.21
40730,0.35,4.61,2.77
16047,0.3,4.31,2.67
6824,1.01,6.38,4.03
28077,0.4,4.76,2.95
3710,0.7,5.7,3.52
11262,0.91,6.11,3.83
30040,0.39,4.69,2.92
17954,1.02,6.37,4.02
44204,0.51,5.1,3.13
47892,0.54,5.24,3.24
8771,1.01,6.23,4.05
4385,0.31,4.35,2.68
48466,0.71,5.72,3.55
710,1.03,6.38,4.03
37960,0.41,4.73,2.94
50228,0.71,5.71,3.56
4997,0.9,6.04,3.87
51017,0.71,5.69,3.59
17231,1.04,6.71,3.89
4318,0.9,6.04,3.89
23279,1.51,7.42,4.51
15389,0.29,4.27,2.64
40759,0.51,5.2,3.11
52392,0.58,5.39,3.3
16403,1.28,6.98,4.28
50025,0.73,5.74,3.58
48785,0.53,5.28,3.2
3491,0.81,5.98,3.64
34781,0.4,4.74,2.9
39267,0.38,4.71,2.85
5967,0.9,6.34,3.66
34233,0.4,4.69,2.94
404,0.33,4.85,2.95
23802,1.5,7.32,4.45
30361,0.36,4.62,2.76
4506,0.91,6.16,3.87
11347,1.01,6.41,3.94
2405,0.74,5.83,3.62
49035,0.62,5.53,3.4
44083,0.6,5.48,3.3
28232,0.33,4.4,2.73
7182,0.9,6.2,3.81
28050,0.31,4.35,2.71
47181,0.51,5.23,3.17
40196,0.51,5.12,3.17
47857,0.74,5.76,3.62
48273,0.53,5.23,3.22
8306,0.8,5.97,3.65
15183,1.0,6.28,4.02
41071,0.41,4.83,2.89
7936,1.05,6.5,4.05
31803,0.37,4.6,2.86
35146,0.43,4.84,3.03
53364,0.77,5.85,3.65
50938,0.71,5.59,3.54
41897,0.44,4.86,3.0
22607,1.53,7.45,4.53
48648,0.34,4.48,2.74
48234,0.7,5.79,3.47
20204,1.35,6.95,4.41
33475,0.32,4.42,2.71
3779,1.06,6.52,4.07
48612,0.51,5.13,3.18
12810,1.06,6.54,4.04
40433,0.5,4.86,3.24
1551,0.8,6.02,3.63
3489,0.9,6.07,3.84
21609,1.52,7.46,4.51
52824,0.75,5.85,3.62
44569,0.57,5.34,3.31
20315,1.74,7.82,4.67
51441,0.7,5.7,3.51
47520,0.61,5.51,3.4
23125,1.77,7.77,4.82
20122,1.23,6.92,4.23
2727,0.34,4.46,2.8
10563,1.05,6.54,4.03
21613,1.22,6.97,4.14
34610,0.28,4.14,2.67
39128,0.41,4.78,2.98
6479,1.02,6.54,3.98
8168,0.9,6.2,3.8
18658,1.11,6.64,4.02
39412,0.41,4.81,2.97
31870,0.3,4.3,2.64
40786,0.4,4.75,2.97
48165,0.51,5.16,3.12
11075,0.91,6.19,3.85
12932,1.02,6.43,3.99
24389,0.41,4.7,2.97
721,0.26,4.09,2.55
45770,0.52,5.17,3.16
9345,1.24,6.82,4.28
46937,0.52,5.21,3.13
48559,0.71,5.72,3.57
1106,0.91,6.18,3.85
47275,0.7,5.65,3.53
4959,0.91,6.16,3.85
51211,0.71,5.68,3.52
31629,0.3,4.27,2.66
45327,0.32,4.39,2.73
32010,0.31,4.36,2.71
39467,0.54,5.2,3.2
49470,0.7,5.74,3.54
31730,0.31,4.3,2.69
9442,0.83,5.97,3.73
48652,0.36,4.56,2.8
52923,0.58,5.37,3.31
16153,1.04,6.51,4.02
41258,0.3,4.33,2.65
40763,0.55,5.21,3.25
30005,0.43,4.85,2.96
20205,1.55,7.33,4.59
10070,0.32,4.39,2.72
21096,1.5,7.31,4.56
42463,0.5,4.99,3.17
43851,0.5,5.1,3.1
51886,0.7,5.67,3.55
45504,0.61,5.46,3.34
35753,0.46,4.88,3.07
43219,0.4,4.73,2.95
20564,1.36,7.15,4.41
8035,0.9,6.15,3.86
45663,0.59,5.32,3.4
41891,0.41,4.79,2.96
16784,1.31,6.97,4.33
41505,0.5,4.99,3.29
46658,0.51,5.11,3.2
30125,0.32,4.41,2.72
15047,0.3,4.34,2.65
14143,1.21,6.76,4.2
31910,0.3,4.29,2.68
19304,1.13,6.73,4.12
44088,0.5,5.11,3.16
43172,0.42,4.85,3.0
4178,0.83,6.08,3.78
11988,1.06,6.56,4.06
17308,1.05,6.47,4.03
14301,1.26,6.94,4.25
1729,0.32,4.37,2.71
30342,0.36,4.66,2.8
32459,0.36,4.58,2.83
40705,0.58,5.38,3.32
51183,0.78,5.84,3.7
43196,0.5,4.99,3.17
44815,0.5,5.08,3.19
14734,1.05,6.56,4.06
6791,0.7,5.7,3.53
34387,0.41,4.76,2.95
35391,0.41,4.76,2.89
11514,1.39,7.2,4.46
27855,0.3,4.33,2.67
13413,1.2,6.79,4.26
29812,0.3,4.28,2.67
33394,0.31,4.33,2.71
4156,0.85,6.08,3.77
39569,0.44,4.9,3.04
35731,0.3,4.32,2.69
46626,0.3,4.36,2.62
3434,0.91,6.05,3.88
28859,0.3,4.29,2.68
47136,0.6,5.51,3.35
52500,0.71,5.73,3.51
13971,1.04,6.46,4.04
23564,1.55,7.4,4.58
20910,1.24,7.03,4.21
29186,0.3,4.29,2.64
40991,0.42,4.85,3.0
14937,1.21,6.83,4.23
34201,0.33,4.42,2.76
45887,0.52,5.17,3.23
10744,1.0,6.27,4.0
35610,0.3,4.33,2.64
444,1.02,6.55,3.94
51128,0.72,5.75,3.6
16671,1.26,6.93,4.29
8343,1.02,6.54,3.97
36524,0.4,4.72,2.96
18373,0.3,4.29,2.68
50743,0.57,5.38,3.29
45842,0.5,5.03,3.22
2875,0.78,5.95,3.67
50805,0.7,5.73,3.42
53207,0.61,5.42,3.38
28436,0.3,4.27,2.66
14349,1.14,6.74,4.15
46767,0.52,5.27,3.17
14715,0.3,4.29,2.68
39411,0.41,4.83,2.95
11091,1.0,6.43,4.0
44320,0.33,4.39,2.72
41364,0.65,5.65,3.42
52093,0.75,5.84,3.63
33566,0.43,4.89,2.95
3154,0.93,6.36,3.8
22200,1.16,6.73,4.13
5190,1.07,6.61,4.01
9269,1.22,6.86,4.21
21234,1.54,7.38,4.6
214,0.7,5.64,3.49
50305,0.31,4.39,2.7
31251,0.34,4.47,2.78
22683,0.4,4.75,2.92
34688,0.3,4.32,2.66
37973,0.33,4.48,2.77
16306,1.19,6.85,4.18
2058,0.32,4.4,2.68
